f1,gmean,bacc,auc,brier,ece,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,n_channels,length,M,n_select,tau,clf,energy_syn,mmd_syn,disp_ratio,accept,secs,guard,guard_fired,guard_c,rho_before,rho_after
0.8994818652849741,0.9035995433429506,0.9055600888526225,0.9749950889281774,0.07302341570425513,0.07645665834971746,ItalyPowerDemand,1,5,4.7,7,26,guide=gpf | walk=aligned,0.645,1,24,2.1999999999999997,64,2.0,ridge,2.727755305969227,0.21271446330504862,0.8751193042159217,0.40625,0.1,0.0,,,,
0.6881987577639752,0.7240610972500084,0.7554456231016818,0.9216532934403191,0.1629089407191448,0.17941367022999674,ItalyPowerDemand,1,5,4.7,7,26,guide=gpf | walk=aligned | guard,0.645,1,24,2.1999999999999997,64,2.0,rf,2.727755305969227,0.21271446330504862,0.8751193042159217,0.40625,0.8,1.0,0.0,1.0,0.88,0.88
0.8994818652849741,0.9035995433429506,0.9055600888526225,0.9749950889281774,0.07302341570425513,0.07645665834971746,ItalyPowerDemand,1,5,4.7,7,26,guide=gpf | walk=aligned | guard,0.645,1,24,2.1999999999999997,64,2.0,ridge,2.727755305969227,0.21271446330504862,0.8751193042159217,0.40625,0.8,1.0,0.0,1.0,0.88,0.88
0.731995277449823,0.7590665696829291,0.7788884355591822,0.9273746921135742,0.14436142965122556,0.14020084224165857,ItalyPowerDemand,1,5,4.7,7,26,guide=sig | walk=aligned,0.645,1,24,2.1999999999999997,64,2.0,rf,1.904291962211376,0.14803381108453872,1.765652087374419,0.8125,0.2,0.0,,,,
0.8668796592119276,0.8741618830852375,0.8782753071308763,0.9698837964851836,0.08827513296862737,0.09892274554881199,ItalyPowerDemand,1,5,4.7,7,26,guide=sig | walk=aligned,0.645,1,24,2.1999999999999997,64,2.0,ridge,1.904291962211376,0.14803381108453872,1.765652087374419,0.8125,0.2,0.0,,,,
0.731995277449823,0.7590665696829291,0.7788884355591822,0.9273746921135742,0.14436142965122556,0.14020084224165857,ItalyPowerDemand,1,5,4.7,7,26,guide=sig | walk=aligned | guard,0.645,1,24,2.1999999999999997,64,2.0,rf,1.904291962211376,0.14803381108453872,1.765652087374419,0.8125,1.0,1.0,0.0,1.0,1.77,1.77
0.8668796592119276,0.8741618830852375,0.8782753071308763,0.9698837964851836,0.08827513296862737,0.09892274554881199,ItalyPowerDemand,1,5,4.7,7,26,guide=sig | walk=aligned | guard,0.645,1,24,2.1999999999999997,64,2.0,ridge,1.904291962211376,0.14803381108453872,1.765652087374419,0.8125,1.0,1.0,0.0,1.0,1.77,1.77
0.5207439198855508,0.5933174767689037,0.6735119452377714,0.9385870468591806,0.21644355901090595,0.2723291221250405,ItalyPowerDemand,1,10,8.2,4,29,none,0.645,1,24,1.5999999999999999,64,2.0,rf,,,,,,,,,,
0.7306273062730627,0.7586708082883098,0.7865667074663403,0.9687655832086677,0.15646455307059473,0.22439885423185843,ItalyPowerDemand,1,10,8.2,4,29,none,0.645,1,24,1.5999999999999999,64,2.0,ridge,,,,,,,,,,
0.5869565217391305,0.6444692989387328,0.7037433700530396,0.9289500128443418,0.20229503293380846,0.24663103336572728,ItalyPowerDemand,1,10,8.2,4,29,SMOTE-raw,0.645,1,24,1.5999999999999999,64,2.0,rf,2.9707750559823314,0.2348006978102387,0.45896755623314,,,,,,,
