f1,gmean,bacc,auc,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,ref_energy,energy_syn,disp_ratio,accept,M
0.31746031746031744,0.553982447126385,0.6270114942528735,0.8041954022988506,JapaneseVowels,3,20,20.6,14,275,KNNOR-raw (M=1),0.839,5.184844006212863,3.4212531621325404,0.4609653869712119,0.9821428571428571,
0.10810810810810811,0.25596335944683635,0.524712643678161,0.8482758620689655,JapaneseVowels,3,20,20.6,14,275,chain-mean-GPF (PSSTO-style),0.839,5.184844006212863,3.9713708630756237,0.39047956912037984,,
0.12121212121212122,0.25775333481682716,0.5316091954022989,0.869367816091954,JapaneseVowels,3,20,20.6,14,275,KNNOR-GPF (M=1),0.839,5.184844006212863,8.211279672353232,0.0756805228945032,0.04954954954954955,1.0
0.0,0.0,0.4982758620689655,0.8683908045977011,JapaneseVowels,3,20,20.6,14,275,KNNOR-GPF (M=3/2),0.839,5.184844006212863,10.71016443306165,0.20533923097613044,0.05730360491769119,1.5
0.10810810810810811,0.25596335944683635,0.524712643678161,0.8383333333333334,JapaneseVowels,3,20,20.6,14,275,KNNOR-GPF (M calibrated),0.839,5.184844006212863,11.540809080972995,0.4417790399564867,0.15777395295467583,2.1999999999999997
0.7755102040816326,0.7958224257542215,0.8166666666666667,0.996609195402299,JapaneseVowels,4,5,9.3,31,258,none (raw-flat RF),0.839,2.6386605242113728,,,,
0.3333333333333333,0.47886359730886435,0.6080459770114942,0.858103448275862,JapaneseVowels,4,5,9.3,31,258,none,0.839,2.6386605242113728,,,,
0.45,0.7306114586072927,0.7448275862068965,0.8728735632183908,JapaneseVowels,4,5,9.3,31,258,SMOTE-raw,0.839,2.6386605242113728,0.8933259958805699,0.5433650559860911,,
0.4473684210526316,0.714142842854285,0.7333333333333334,0.8697701149425288,JapaneseVowels,4,5,9.3,31,258,KNNOR-raw (M=1),0.839,2.6386605242113728,1.281536382240244,0.3001641150912386,1.0,
0.4166666666666667,0.5693311260018046,0.6528735632183907,0.8886206896551724,JapaneseVowels,4,5,9.3,31,258,chain-mean-GPF (PSSTO-style),0.839,2.6386605242113728,1.7159434376158007,0.40217471634306523,,
0.4166666666666667,0.5693311260018046,0.6528735632183907,0.8840229885057471,JapaneseVowels,4,5,9.3,31,258,KNNOR-GPF (M=1),0.839,2.6386605242113728,3.0857795735361133,0.23134523252360403,0.11058722674667809,1.0
0.3829787234042553,0.5401149302982047,0.6362068965517241,0.882816091954023,JapaneseVowels,4,5,9.3,31,258,KNNOR-GPF (M=3/2),0.839,2.6386605242113728,4.7350343100945995,0.3377911085704454,0.13374805598755832,1.5
0.41509433962264153,0.5928695074580604,0.6626436781609195,0.8772413793103448,JapaneseVowels,4,5,9.3,31,258,KNNOR-GPF (M calibrated),0.839,2.6386605242113728,4.624659019592487,0.5245643977546801,0.2146422628951747,2.0
